dProofs29.txt:382213                    9 CpCqNNCrr    D1D1DD3DD2DD2D13DD2D1311DD211:C0C1NNC2.2
dProofs29.txt:711810                    9 CpCNCqNrr    D1D3DD2D1D3DD2DD2D13DD2D13111:C0CNC1N2.2
dProofs29.txt:1137855                   9 CpNNCqCrr    D1DD3DD2DD2D13DD2D1311D1DD211:C0NNC1C2.2
dProofs29.txt:2123727                   9 CpNCCqqNp    D3DD2DD2DD2D13DD2D1311D1DD211:C0NCC1.1N0
dProofs29.txt:2587374                   9 CCNpqCNqp    DD2D13D2D1D3DD2DD2D13DD2D1311:CCN0.1CN1.0
dProofs29.txt:2709080                   9 CpCCpNNqq    DD2D1D2D2D1DD2DD2D13DD2D13111:C0CC0NN1.1
dProofs29.txt:2849842                   9 CNCNCppqr    DD2D1DD23D1DD2D1DD23D1DD21111:CNCNC0.0.1.2
dProofs29.txt:3143437                   9 CCCpNNpqq    DD2DD211D1D3DD2DD2D13DD2D1311:CCC0NN0.1.1
dProofs29.txt:3310618                   9 CCNpCNppp    DD2DD2D13D2DD2D1D2D2DD2D13111:CCN0CN0.0.0
dProofs29.txt:3414570                   9 NNCpCqCrr    DD3DD2DD2D13DD2D1311D1D1DD211:NNC0C1C2.2
dProofs31.txt:3310632                   9 CpCNNNNqq    D1DD2DD2D13DD2D13DD2D13DD2D1311:C0CNNNN1.1
dProofs31.txt:6381475                   9 CCCppNNqq    D3D3DD2DD2DD2D13DD2D1311D1DD211:CCC0.0NN1.1
dProofs31.txt:7413295                   9 CpCqCrNNp    DD2D11DD2D11D3DD2DD2D13DD2D1311:C0C1C2NN0
dProofs31.txt:7451580                   9 CpCqNNCrp    DD2D11DD2D1D3DD2DD2D13DD2D13111:C0C1NNC2.0
dProofs31.txt:7792080                   9 CpCqNCpNq    DD2D13DD2D1D2DD2DD2D13DD2D13111:C0C1NC0N1
dProofs31.txt:7792141                   9 CNCpNqCrq    DD2D13DD2D1DD22D11DD2D11DD2D131:CNC0N1C2.1
dProofs31.txt:7792699                   9 CCpNqCqNp    DD2D13DD2D1DD22D2DD2D13DD2D1311:CC0N1C1N0
dProofs31.txt:8107972                   9 CpCCpqNNq    DD2D1D2D2D1D3DD2DD2D13DD2D13111:C0CC0.1NN1
dProofs31.txt:8421152                   9 CpNNCqCrp    DD2D1D3DD2DD2D13DD2D1311DD2D111:C0NNC1C2.0
dProofs31.txt:8469657                   9 CCNNpqCpq    DD2D1DD22D1D3DD2DD2D13DD2D13111:CCNN0.1C0.1
dProofs31.txt:8478668                   9 CNCpqCNpr    DD2D1DD22D1DD2D131DD2D11DD2D131:CNC0.1CN0.2
dProofs31.txt:8570973                   9 CNCCNpppq    DD2D1DD23D1DD2DD2D13D2DD2D13111:CNCCN0.0.0.1
dProofs33.txt:6381480                   9 CpCqNNNNq    D1D3DD2DD2D13DD2D13DD2D13DD2D1311:C0C1NNNN1
dProofs33.txt:19284842                  9 CNCpCqNrr    D3DD2D1D3DD2DD2D13DD2D1311DD2D111:CNC0C1N2.2
dProofs33.txt:27471348                  9 CCCppqNNq    DD2D2D1D3DD2DD2D13DD2D1311D1DD211:CCC0.0.1NN1
dProofs33.txt:31235272                  9 NNCNNpCqp    DD3DD2DD2D13DD2D1311DD2D13DD2D131:NNCNN0C1.0
dProofs33.txt:31235294                  9 NNCpCCpqq    DD3DD2DD2D13DD2D1311DD2D1D2DD2111:NNC0CC0.1.1
dProofs33.txt:31235392                  9 NNNNCpCqp    DD3DD2DD2D13DD2D13DD2D13DD2D13111:NNNNC0C1.0
dProofs35-unfiltered35+.txt:88205702    9 CNpCCNqpq    DD2D1D2D1DD23D11DD2D12DD2D11DD2D131:CN0CCN1.0.1
dProofs35-unfiltered35+.txt:91616710    9 CpCNCNpqr    DD2D1D2DD2D131DD2D11DD2D1D2DD2D1311:C0CNCN0.1.2
dProofs35-unfiltered35+.txt:105225733   9 CCNNCppqq    DD2DD211D1DD3DD2DD2D13DD2D1311DD211:CCNNC0.0.1.1
dProofs35-unfiltered35+.txt:110238664   9 CpNCpNCqp    DD2DD2D13DD2D1D2DD2DD2D13DD2D131111:C0NC0NC1.0
dProofs35-unfiltered35+.txt:114605004   9 NNCCCppqq    DD3DD2DD2D13DD2D1311DD2DD211D1DD211:NNCCC0.0.1.1
dProofs35-unfiltered35+.txt:114606059   9 NCCppNCqq    DD3DD2DD2DD2D13DD2D1311D1DD211DD211:NCC0.0NC1.1
dProofs37-unfiltered35+.txt:294852411   9 CpCqNNNNp    DD2D11D3DD2DD2D13DD2D13DD2D13DD2D1311:C0C1NNNN0
dProofs37-unfiltered35+.txt:329898048   9 CpCCNNpqq    DD2D1D2DD211DD2D11D3DD2DD2D13DD2D1311:C0CCNN0.1.1
dProofs37-unfiltered35+.txt:335878951   9 CNNpNNCqp    DD2D1D3DD2DD2D13DD2D1311DD2D13DD2D131:CNN0NNC1.0
dProofs37-unfiltered35+.txt:335878973   9 CpNNCCpqq    DD2D1D3DD2DD2D13DD2D1311DD2D1D2DD2111:C0NNCC0.1.1
dProofs37-unfiltered35+.txt:335879065   9 CpNNNNCqp    DD2D1D3DD2DD2D13DD2D13DD2D13DD2D13111:C0NNNNC1.0
dProofs37-unfiltered35+.txt:388689960   9 CCpNCppNp    DD2DD2D13DD2D1DD22D2DD2D13DD2D1311D21:CC0NC0.0N0
dProofs39-unfiltered35+.txt:388784918   9 CpCqNCqNq    D1DD2DD2D1D231DD2D1D2DD2DD2D13DD2D13111:C0C1NC1N1
dProofs39-unfiltered35+.txt:402638164   9 CpNNCNNqq    D1DD3DD2DD2D13DD2D1311DD2DD2D13DD2D1311:C0NNCNN1.1
dProofs39-unfiltered35+.txt:402638255   9 CpNNNNCqq    D1DD3DD2DD2D13DD2D13DD2D13DD2D1311DD211:C0NNNNC1.1
dProofs39-unfiltered35+.txt:842045988   9 CNCCNpqqp    D3DD2D1D3DD2DD2D13DD2D1311DD2D1D2DD2111:CNCCN0.1.1.0
dProofs39-unfiltered35+.txt:842045989   9 CNNNCpNqq    D3DD2D1D3DD2DD2D13DD2D13DD2D13DD2D13111:CNNNC0N1.1
dProofs39-unfiltered35+.txt:1048957064  9 CCCpqpCrp    DD2D13DD2D1D2DD2D131DD2D1DD22D1DD2D1311:CCC0.1.0C2.0
dProofs39-unfiltered35+.txt:1138104389  9 CpCqNCqNp    DD2D1D2DD2D13DD2D1D2DD2DD2D13DD2D131111:C0C1NC1N0
dProofs39-unfiltered35+.txt:1138107335  9 CpCCqNpNq    DD2D1D2DD2D13DD2D1DD22D2DD2D13DD2D13111:C0CC1N0N1
dProofs39-unfiltered35+.txt:1154080543  9 CNCNpqCpr    DD2D1DD22D1DD2D1D2DD2D1311DD2D11DD2D131:CNCN0.1C0.2
dProofs39-unfiltered35+.txt:1310140360  9 CCNpNCpqp    DD2DD2D13D2DD2D1D2DD2D131DD2D11DD2D1311:CCN0NC0.1.0
dProofs39-unfiltered35+.txt:1357617305  9 NNCpCNNqq    DD3DD2DD2D13DD2D1311D1DD2DD2D13DD2D1311:NNC0CNN1.1
dProofs39-unfiltered35+.txt:1357627450  9 NNNNCpCqq    DD3DD2DD2D13DD2D13DD2D13DD2D1311D1DD211:NNNNC0C1.1
dProofs11.txt:37                       10 CpCqCNrCrs   D1D1DD2D131:C0C1CN2C2.3
dProofs11.txt:113                      10 CCpNqCpCqr   D2D1DD2D131:CC0N1C0C1.2
dProofs15.txt:523                      10 CpCNqCrCqs   D1DD2D11DD2D131:C0CN1C2C1.3
dProofs15.txt:586                      10 CpCNCqCrqs   D1DD2D1DD23D111:C0CNC1C2.1.3
dProofs15.txt:592                      10 CpCNCNqNqq   D1DD2D1DD23D211:C0CNCN1N1.1 [instance of CpCNCqqr]
dProofs15.txt:1617                     10 CNCpCqCrqs   DD2D1DD23D1D111:CNC0C1C2.1.3
dProofs15.txt:1623                     10 CNCCpqCppr   DD2D1DD23D1D211:CNCC0.1C0.0.2 [instance of CNCpCqqr]
dProofs17.txt:1510                     10 CpCCNqqCrq   D1DD2D13D2DD2D131:C0CCN1.1C2.1
dProofs17.txt:4921                     10 CCCNpCpqrr   DD2DD211D1DD2D131:CCCN0C0.1.2.2
dProofs19.txt:1602                     10 CpCqCrCNrs   D1D1DD2D1D2DD2D1311:C0C1C2CN2.3
dProofs19.txt:3154                     10 CpCCqNqCqr   D1D2DD2D1D2DD2D1311:C0CC1N1C1.2
dProofs19.txt:6150                     10 CCpqCpCNqr   D2D1DD2D1D2DD2D1311:CC0.1C0CN1.2
dProofs19.txt:11372                    10 CNpCqCrCps   DD2D11DD2D11DD2D131:CN0C1C2C0.3
dProofs19.txt:11788                    10 CNpCCqpCqr   DD2D12DD2D11DD2D131:CN0CC1.0C1.2
dProofs19.txt:12473                    10 CpCCpNqCqr   DD2D1D2D2D1DD2D1311:C0CC0N1C1.2
dProofs19.txt:12863                    10 CCCpqrCNpr   DD2D1DD22D1DD2D1311:CCC0.1.2CN0.2
dProofs19.txt:12991                    10 CNCpCqCrps   DD2D1DD23D1DD2D1111:CNC0C1C2.0.3
dProofs21.txt:4495                     10 CpCqCNCrrs   D1D1DD2D1DD23D1DD2111:C0C1CNC2.2.3
dProofs21.txt:11992                    10 CpCNNNqCqr   D1DD2D13DD2D13DD2D131:C0CNNN1C1.2
dProofs21.txt:12953                    10 CpCNCqCrrs   D1DD2D1DD23D1D1DD2111:C0CNC1C2.2.3
dProofs21.txt:17926                    10 CCpNCqqCpr   D2D1DD2D1DD23D1DD2111:CC0NC1.1C0.2
dProofs21.txt:32995                    10 CCNppCqCrp   DD2D11DD2D13D2DD2D131:CCN0.0C1C2.0
dProofs21.txt:34569                    10 CCNNpNpCpq   DD2D13DD2D13D2DD2D131:CCNN0N0C0.1
dProofs21.txt:34579                    10 CCNpNNpCqp   DD2D13DD2D1D2DD2D1313:CCN0NN0C1.0
dProofs21.txt:34601                    10 CCCppNqCqr   DD2D13DD2D2D11D1DD211:CCC0.0N1C1.2
