dProofs19.txt:182544                   8 CNNNpCpq   DD2D13DD2D13DD2D131:CNNN0C0.1
dProofs19.txt:187172                   8 CLpCCpqq   DD2D1D2DD211DD2D114:CL0CC0.1.1
dProofs19.txt:189127                   8 CLNCLppq   DD2D1DD23D14DD2D114:CLNCL0.0.1
dProofs19.txt:189258                   8 CNCpCqqr   DD2D1DD23D1D1DD2111:CNC0C1.1.2
dProofs19.txt:189518                   8 CNCLLppq   DD2D1DD23D1DD2D1441:CNCLL0.0.1
dProofs19.txt:189710                   8 CNLLCppq   DD2D1DD23D1NNDD2111:CNLLC0.0.1
dProofs19.txt:307041                   8 LCNLCppq   NDD2D1DD23D1NDD2111:LCNLC0.0.1
dProofs19.txt:368704                   8 LLCNCppq   NNDD2D1DD23D1DD2111:LLCNC0.0.1
dProofs20.txt:157400                   8 CpLCNNqq   D1NDD2DD2D13DD2D1311:C0LCNN1.1
dProofs20.txt:278251                   8 CLNCppLq   D5NDD2D1DD23D1DD2111:CLNC0.0L1 [instance of CLNCppq]
dProofs20.txt:454329                   8 LCpCNNqq   ND1DD2DD2D13DD2D1311:LC0CNN1.1
dProofs20.txt:581034                   8 LCLLLLpp   NDD2D14DD2D14DD2D144:LCLLLL0.0
dProofs20.txt:772686                   8 LLLCNNpp   NNNDD2DD2D13DD2D1311:LLLCNN0.0
dProofs21.txt:215659                   8 CpCCNqqq   D1DD2DD2D13D2DD2D1311:C0CCN1.1.1
dProofs21.txt:684038                   8 CpCqCNpr   DD2D11DD2D1D2DD2D1311:C0C1CN0.2
dProofs21.txt:712247                   8 CpCNCqpr   DD2D1D2DD2D131DD2D111:C0CNC1.0.2
dProofs21.txt:1120751                  8 LCLNNpLp   ND5NDD2DD2D13DD2D1311:LCLNN0L0
dProofs21.txt:1450325                  8 LLCCNppp   NNDD2DD2D13D2DD2D1311:LLCCN0.0.0
dProofs22.txt:539401                   8 CpLCqNNq   D1ND3DD2DD2D13DD2D1311:C0LC1NN1
dProofs22.txt:1112218                  8 CLCNppLp   D5NDD2DD2D13D2DD2D1311:CLCN0.0L0
dProofs22.txt:1581134                  8 NNLCpCqp   DD3DD2DD2D13DD2D1311N1:NNLC0C1.0
dProofs22.txt:1725903                  8 LCpCqNNq   ND1D3DD2DD2D13DD2D1311:LC0C1NN1
dProofs22.txt:2296610                  8 LCLpCNpq   NDD2D1D2DD2D131DD2D114:LCL0CN0.1
dProofs22.txt:2296730                  8 LCpCLNpq   NDD2D1D2DD2D13DD2D1141:LC0CLN0.1
dProofs22.txt:2418598                  8 LNNCpCqp   NDD3DD2DD2D13DD2D13111:LNNC0C1.0
dProofs22.txt:2960569                  8 LLLCpNNp   NNND3DD2DD2D13DD2D1311:LLLC0NN0
