dProofs67.txt:5222873                  9 NNCpCqCrp      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D1DD1D1D11D1D1D11DDD11D1D1D1111:NNC0C1C2.0
dProofs69.txt:6788094                  9 CCpNpCqNp      DDD1D1DD1DD1DD1D1D11D1DD1D1D11D1D1DD1D1DDDD11D1D1D111D1D11DD1D1111111:CC0N0C1N0
dProofs69.txt:9128471                  9 CNNNNpCqp      DDDD1D1DDDD11D1D1D111D1D1111DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D111:CNNNN0C1.0
dProofs71-unfiltered71+.txt:4123142    9 CpCNCqNrr      DD11DDDD1D1DD1DD1DD1DD11D1D1D11D1DD1D1DD1D111D1D1D1D111111DDD11D1D1D111:C0CNC1N2.2
dProofs71-unfiltered71+.txt:18093336   9 CNCNpCpqr      DDDD1D11D11DD1D1D1DD1D1D11D1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D111:CNCN0C0.1.2
dProofs71-unfiltered71+.txt:21027005   9 CNNNCpqNq      DDDD1D1DDDD11D1D1D111D1D1111DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D111:CNNNC0.1N1
dProofs73-unfiltered71+.txt:12314914   9 CpNNNNCqq      DD1D1D1D11DD1D1DD1D1D11D1D1D11DDDDD1D1D11DD1D1111DDD1D1DD1DD11D1D1D111111:C0NNNNC1.1
dProofs73-unfiltered71+.txt:13880853   9 CpCqNNNNp      DD1D1DD1DD1D1DDDD11D1D1D111D1D111D1DD11DDD1D1DD1D1D111DDD11D1D1D1111D1D11:C0C1NNNN0
dProofs73-unfiltered71+.txt:19597221   9 CNNpNNCqp      DDD11DDD1D1DD1D1D111DD1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11DDD11D1D1D11111:CNN0NNC1.0
dProofs75-unfiltered71+.txt:65422744   9 NNCpNNCqq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNC0NNC1.1
dProofs75-unfiltered71+.txt:65424761   9 NNCNNpCqp      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D1111:NNCNN0C1.0
dProofs77-unfiltered71+.txt:92550708   9 CNCpCqNrr      DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D111DDD1DDD1D1D1111DD1D11D1111:CNC0C1N2.2
dProofs77-unfiltered71+.txt:117362101  9 NNCNCpqNq      DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D1111:NNCNC0.1N1
dProofs13.txt:7                       10 CpCqCrCNqs     DD1D1D11D1D11:C0C1C2CN1.3
dProofs17.txt:11                      10 CpCqCNCrrs     DD1D1D11DD1D11D11:C0C1CNC2.2.3
dProofs19.txt:16                      10 CpCqCrCNps     DD1D11DDD11D1D1D111:C0C1C2CN0.3
dProofs23.txt:65                      10 CpCqCNCrqs     DD1DDD1D1D1111DD1D11D11:C0C1CNC2.1.3
dProofs23.txt:92                      10 CpCNCqCrqs     DDD1D11D11DDD11D1D1D111:C0CNC1C2.1.3
dProofs23.txt:131                     10 CNCpCqCrqs     DDDD1D11D11DD11D1D1D111:CNC0C1C2.1.3
dProofs27.txt:231                     10 CpCNCqCrrs     DDD1D11D11DDD1D1D11D1D1D111:C0CNC1C2.2.3
dProofs27.txt:327                     10 CNCpCqCrrs     DDDD1D11D11DD1D1D11D1D1D111:CNC0C1C2.2.3
dProofs29.txt:6                       10 CCCpNqqCrq     D1D1DD1D1DDDD11D1D1D111D1D111:CCC0N1.1C2.1
dProofs29.txt:175                     10 CpCqCNCrps     DD1D1DD1D1D11D1D1D11DD1D11D11:C0C1CNC2.0.3
dProofs37.txt:746                     10 CpCNNqCNqr     DD11DDDD1D1DD1DD11D1D1D11111DD1D11D11:C0CNN1CN1.2 [instance of CpCNqCqr]
dProofs37.txt:3636                    10 CNNpCqCNpr     DDDD1D1DDDD11D1D1D111D1D1111DD1D11D11:CNN0C1CN0.2
dProofs41.txt:3319                    10 CpCCNqNNqq     DD1DD1D1DD1D1D111D1D11D1D1DD1D1D11D1D1D11:C0CCN1NN1.1
dProofs41.txt:3906                    10 CNNpCNCqpr     DDD11DDD1D1DD1D1D111DD1D11DDD11D1D1D11111:CNN0CNC1.0.2
dProofs43.txt:13618                   10 CNCpCqNNpr     DDDD1D11D11DD1D1D1DD1D1D11D1D1D11D1D1D1D111:CNC0C1NN0.2
dProofs43.txt:14763                   10 NNCpCqCNpr     DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DD1D11D111:NNC0C1CN0.2
dProofs45.txt:6863                    10 CpCNCqCrps     DD1D1DD1D1D11D1D1D11DDD1DDD1D1D1111DD1D11D111:C0CNC1C2.0.3
dProofs45.txt:14274                   10 CpCNCNNqqr     DDD1D11D11DDD11DDD1D1DD1D1D111DDD11D1D1D11111:C0CNCNN1.1.2
dProofs45.txt:21964                   10 CNCpCNNqqr     DDDD1D11D11DD11DDD1D1DD1D1D111DDD11D1D1D11111:CNC0CNN1.1.2
dProofs45.txt:22083                   10 CNCpCqCrps     DDDD1D11D11DD1D1DD1D1D11D1D1D11DDD11D1D1D1111:CNC0C1C2.0.3
dProofs45.txt:23898                   10 CpCNNNCqqr     DDDD1D1D11DD1D1111DDD1D1DDDD11D1D1D111D1D1111:C0CNNNC1.1.2
dProofs47.txt:8194                    10 CpCqCrCNrs     DD1D1D11D1D1D1DD1DD1D1DD1D1DD1D1D11D1D1D111D111:C0C1C2CN2.3
dProofs47.txt:11456                   10 CCNpNNpCqp     DD1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D1111D1D11:CCN0NN0C1.0
dProofs49.txt:1                       10 CCCNpqrCpr     D1D1D1DD1D1D11D1D1DD1D1DDDD11D1D1D111D1D11DD1D111:CCCN0.1.2C0.2
dProofs49.txt:62647                   10 NNCpCNCqqr     DDDD1D1D11DD1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNC0CNC1.1.2
