dProofs83-unfiltered83+.txt:3985697   10 CpCCCqqNpr      DDD1D11D1DD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D11D1DD1D1111:C0CCC1.1N0.2
dProofs83-unfiltered83+.txt:9087568   10 CCCpCNpqrr      DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D11D1DD1D1DD1DD11D11D1DD1D111D111:CCC0CN0.1.2.2
dProofs85-unfiltered83+.txt:983479    10 CCpqCNCprq      D1DD1D1DD1DD11D11D1DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D11D1DD1D111DD1DD11D11D1DD1D111:CC0.1CNC0.2.1
dProofs85-unfiltered83+.txt:16900667  10 CCCNCpqprr      DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D11DD1DD11D11D1DD1D1111:CCCNC0.1.0.2.2
dProofs91-unfiltered83+.txt:27479609  10 CpCNNNCqqr      DD11DDD1DD1DD11D11D1DD1DDD1DD11D11D1DD1D1111D1DD11DD1DD11D11D11DDDD1DD1D111DD1DD11D11D11111:C0CNNNC1.1.2
dProofs91-unfiltered83+.txt:81310627  10 CNCpqCNNqr      DDD1D1DD1DDD1DD11D11D1DD1D111D1DD1DDD1DD11D11D1DD1D1111D1DD11DD1DD11D11D11DD1DD11D11D11D111:CNC0.1CNN1.2
dProofs13.txt:5                       11 CpCqCCNrNqr     DD1D11DDD1111:C0C1CCN2N1.2
dProofs21.txt:15                      11 CpCCNqNCqrq     DD1D11DDD1D11DDD11111:C0CCN1NC1.2.1
dProofs23.txt:6                       11 CCpCpqCrCpq     D1D1DD1DD11D11D1DD1D111:CC0C0.1C2C0.1
dProofs23.txt:22                      11 CpCqCCNrNpr     DD1D1DDD11D111D1DD1D111:C0C1CCN2N0.2
dProofs25.txt:38                      11 CpCCNqNCrrq     DD1DD1D111DDD1D11DDD11111:C0CCN1NC2.2.1
dProofs27.txt:145                     11 CpCqCCrsCss     DDD1DD11D11D1DD1D111DD1D111:C0C1CC2.3C3.3 [instance of CpCqCrCss]
dProofs27.txt:191                     11 CCNpNCqCrrp     DDDD1D11DDD11111DDD1D11D111:CCN0NC1C2.2.0
dProofs29.txt:67                      11 CpCCNqNCrpq     DDD11DD1D1DDD11D111D1DD1D1111:C0CCN1NC2.0.1
dProofs29.txt:171                     11 CCCpqCqrCqr     DDD1D1DD1DD11D11D1DD1D111D111:CCC0.1C1.2C1.2
dProofs29.txt:196                     11 CpCCCqqrCsr     DDD1DD11D11D1DD1D111D1DD1D111:C0CCC1.1.2C3.2
dProofs29.txt:281                     11 CNCpCqCNprs     DDDD1DD11D11D11DD1DD11D11D111:CNC0C1CN0.2.3
dProofs31.txt:26                      11 CCCpCqqrCsr     D1DDD1DD11D11D1DD1D111DD1D11D11:CCC0C1.1.2C3.2
dProofs31.txt:66                      11 CpCNCqrCNqs     DD1D1DD1DD11D11D11DD1DD11D11D11:C0CNC1.2CN1.3
dProofs31.txt:238                     11 CCCpqCrpCrp     DDD1D1DD1DD11D11D1DD1D111D1D111:CCC0.1C2.0C2.0
dProofs35.txt:694                     11 CCNpNCqCrqp     DDDD1D11DDD11111DD1DD11D11D1DD1D111:CCN0NC1C2.1.0
dProofs35.txt:742                     11 CNCpCNCqprs     DDDD1DD11D11D11DDD11DD1DD11D11D1111:CNC0CNC1.0.2.3
dProofs37.txt:242                     11 CCNpNCqCprp     DDD1D11DDD11DD1D1DDD11D111D1DD1D11111:CCN0NC1C0.2.0
dProofs41.txt:1482                    11 CpCNCNCqqrs     DDD1DD11D11D11DDDD1DD1D111DD1DD11D11D1111:C0CNCNC1.1.2.3
dProofs41.txt:1490                    11 CpCCCqrqCsq     DDD1DD11D11D1DD1D111D1DD1DD11D11D1DD1D111:C0CCC1.2.1C3.1
dProofs41.txt:2295                    11 CNCpCNCqqrs     DDDD1DD11D11D11DDD1DD1D111DD1DD11D11D1111:CNC0CNC1.1.2.3
dProofs43.txt:476                     11 CpCqCNCNprs     DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D11:C0C1CNCN0.2.3
dProofs43.txt:3358                    11 CNCNCpCqrqs     DDDD1DD11D11D11DDD1D11DDD11DD1DD11D11D11111:CNCNC0C1.2.1.3
dProofs43.txt:3393                    11 CNCNCpCqqrs     DDDD1DD11D11D11DDDD1DD11D11D11DDD1D11D11111:CNCNC0C1.1.2.3
dProofs45.txt:144                     11 CCCpCqprCsr     D1DDD1DD11D11D1DD1D111DD11DD1DD11D11D1DD1D111:CCC0C1.0.2C3.2
dProofs47.txt:794                     11 CpCCqCqrCqr     DD1D1DD1DD11D11D1DD1D111D1D1DD1DD11D11D1DD1D111:C0CC1C1.2C1.2
dProofs49.txt:1431                    11 CpCqCrCsCtt     DD1DD1D111DDDD11DD1D1DDD11D111D1DD1D1111DD1D11D11:C0C1C2C3C4.4
dProofs49.txt:1501                    11 CpCNCqCNprs     DD1DD1D1DD1DD11D11D1DD1D111D11DDD11DD1DD11D11D111:C0CNC1CN0.2.3
dProofs49.txt:1614                    11 CpCNCNCqprs     DDD11DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D111:C0CNCNC1.0.2.3
dProofs51.txt:8894                    11 CpCNCqCNqrs     DDD1DD11D11D11DDD1D11D1DD1D1DD1DD11D11D1DD1D111D111:C0CNC1CN1.2.3
dProofs51.txt:9179                    11 CpCCCqrsCrs     DDD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111D1DD1D111:C0CCC1.2.3C2.3
dProofs51.txt:14341                   11 CNCpCqCNqrs     DDDD1DD11D11D11DD1D11D1DD1D1DD1DD11D11D1DD1D111D111:CNC0C1CN1.2.3
dProofs51.txt:14558                   11 CNCNCpCqprs     DDDD1DD11D11D11DDDD1DD11D11D11DD1DD11D11D1DD1D11111:CNCNC0C1.0.2.3
dProofs53.txt:513                     11 CCCpCqrqCsq     D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:CCC0C1.2.1C3.1
dProofs53.txt:12822                   11 CpCNCNCqrqs     DDD1DD11D11D11DDD1D1DD1DD11D11D11DD1DD11D11D1DD1D1111:C0CNCNC1.2.1.3
dProofs53.txt:13138                   11 CpCqCCCrrss     DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D1DD1D111D1DD1D111:C0C1CCC2.2.3.3
dProofs53.txt:20763                   11 CNCpCNCqrqs     DDDD1DD11D11D11DD1D1DD1DD11D11D11DD1DD11D11D1DD1D1111:CNC0CNC1.2.1.3
dProofs55.txt:3050                    11 CpCCCqCrrss     DD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D11D11:C0CCC1C2.2.3.3
dProofs55.txt:16367                   11 CCCCpqCqqrr     DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D1111:CCCC0.1C1.1.2.2 [instance of CCCpCqqrr]
dProofs57.txt:7581                    11 CNCpCNCqrsq     DDD1D11DD1DD1D1DD1DD11D11D1DD1D111D11DDD11DD1DD11D11D1111:CNC0CNC1.2.3.1
dProofs57.txt:7596                    11 CNCNCpCqrsq     DDD1D11DDD11DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D1111:CNCNC0C1.2.3.1
dProofs57.txt:32002                   11 CCNCpqNpCpq     DDD1DD1DDD1DD11D11D1DD1D111D1DD1D1111DD1DD11D11D1DD1D1111:CCNC0.1N0C0.1
dProofs63.txt:15529                   11 CpCqCrCsCts     DD1DD1D111DDDD11DD1D1DDD11D111D1DD1D1111DD11DD1DD11D11D1DD1D111:C0C1C2C3C4.3
dProofs65.txt:108982                  11 CNCpqCrCNps     DDD1D1DD1DD11D11D11DD1DDD1DD11D11D1DD1D111D11DD1DD11D11D1DD1D1111:CNC0.1C2CN0.3
dProofs65.txt:108983                  11 CNCpqCNCrps     DDD1D1DD1DD11D11D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D111:CNC0.1CNC2.0.3
dProofs65.txt:109387                  11 CNCpCqrCNqs     DDD1D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D11DD1DD11D11D111:CNC0C1.2CN1.3
dProofs65.txt:130393                  11 CpCqCCCrsrr     DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D1DD1D111D1DD1DD11D11D1DD1D111:C0C1CCC2.3.2.2
dProofs67.txt:4516                    11 CCCpqNqCrNq     D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:CCC0.1N1C2N1
dProofs67.txt:25552                   11 CpCqCNCNqrs     DD1D1DD1DD11D11D1DD1D111DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D11:C0C1CNCN1.2.3
dProofs67.txt:26167                   11 CpCNCNCqrsq     DD1D1DD1DD1D1DD1DD11D11D1DD1D111D11DD1DD11D11D11DD1DD11D11D1DD1D111:C0CNCNC1.2.3.1
dProofs69.txt:37746                   11 CpCCCqCrqss     DD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD11DD1DD11D11D1DD1D111:C0CCC1C2.1.3.3
dProofs71.txt:356903                  11 CNCpqCNCqrs     DDD1D1DD1DDD1DD11D11D1DD1D111D11DD1DD11D11D1DD1D111DDD11DD1DD11D11D1111:CNC0.1CNC1.2.3
dProofs73.txt:145177                  11 CCCCpqrqCpq     DDD1D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D11111:CCCC0.1.2.1C0.1
dProofs75.txt:950409                  11 CpCqCrCsCtr     DDD1DD11D11D1DD1D111DD11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0C1C2C3C4.2
dProofs77.txt:169852                  11 CpCCCqCrsrr     DD1D1DD1DD11D11D1DD1D111D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0CCC1C2.3.2.2
dProofs77.txt:1167453                 11 CCCpCqCrrss     DDD1D1DD1DD11D11D1DD1D111D1DD1DD1D111DDDD11DD1D1DDD11D111D1DD1D1111DD1D11D111:CCC0C1C2.2.3.3
dProofs79.txt:25003                   11 CCNNCpqpCrp     D1DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:CCNNC0.1.0C2.0
dProofs79.txt:306015                  11 CpCNqCNCqrs     DD1DD1D111DDD1D1DD1DDD1DD11D11D1DD1D111D11DD1D1DDD11D111D1DD1D111DD1DD11D11D111:C0CN1CNC1.2.3
dProofs81.txt:2602295                 11 CCCCCppqqrr     DDD1D1DD1DD11D11D1DD1D111D1DDD1DD11D11D1DD1D111DD1D1DD1DD11D11D1DD1D111D1DD1D1111:CCCCC0.0.1.1.2.2
dProofs85-unfiltered83+.txt:19296684  11 CpCqCCqrCsr     DDD1DD11D11D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:C0C1CC1.2C3.2
dProofs87-unfiltered83+.txt:7567949   11 CpCqCrCsCtq     DD11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D111:C0C1C2C3C4.1
dProofs87-unfiltered83+.txt:33570630  11 CpNNCqCrCss     DDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DD1D11D11:C0NNC1C2C3.3
dProofs87-unfiltered83+.txt:33570631  11 CpNNCCqrCqr     DDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD11D111:C0NNCC1.2C1.2 [instance of CpNNCqq]
dProofs87-unfiltered83+.txt:33570632  11 CpNNCCqrCrr     DDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DDD1D1111:C0NNCC1.2C2.2 [instance of CpNNCqCrr]
dProofs87-unfiltered83+.txt:36963804  11 CCNpNNNCqqp     DDD1DD1DD11D11D1DD1DDD1DD11D11D1DD1D1111D1DD11DD1DD11D11D11DDDD1DD1D111DD1DD11D11D11111:CCN0NNNC1.1.0
dProofs87-unfiltered83+.txt:52931303  11 CNCNCpqCrps     DDDD1DD11D11D11DDD1D1DD1DD11D11D11DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DD11D11D1DD1D11111:CNCNC0.1C2.0.3
dProofs87-unfiltered83+.txt:53449747  11 NNCpCCqrCqr     DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DD11D111:NNC0CC1.2C1.2 [instance of NNCpCqq]
dProofs87-unfiltered83+.txt:53449748  11 NNCpCCqrCrr     DDDD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111DD1D1111:NNC0CC1.2C2.2 [instance of NNCpCqCrr]
dProofs89-unfiltered83+.txt:7408089   11 CCNNCppqCrq     D1DD1DD1D111DD1DD11D11D1DD1DDD1DD11D11D1DD1D111D1DD1D111DD1DDD1DD11D11D1DD1D111D1DD1D1111:CCNNC0.0.1C2.1
